,product,date,year,Foundry,num_shading_units,num_compute_units,num_tensor_cores,flops,FP16_flops,FP32_flops,FP64_flops,timestamp,real_price_2020,process_size_in_nm,TDP_in_W,transistors_in_millions,die_size_in_mm,base_clock_in_MHz,bandwidth_in_GBs,bus_width_in_bit,GPU_clock_in_MHz,length_in_mm,memory_bus_in_bit,memory_clock_in_MHz,memory_size_in_MB,pixel_rate_in_MPixel_per_s,texture_rate_in_GTexel_per_s,num_cores
0,AMD Radeon Pro 450,2016-10-30 12:00:00,2016.0,GlobalFoundries,640.0,10.0,,1024000000000.0,1024000000000.0,1024000000000.0,64000000000.0,1477785600.0,,14,35.0,3000.0,123.0,,81.28,128.0,800.0,,128.0,1270.0,2000.0,12800.0,32.0,640
1,NVIDIA Jetson TX1 GPU,2015-01-04 12:00:00,2015.0,TSMC,256.0,,,512000000000.0,1024000000000.0,512000000000.0,16000000000.0,1420329600.0,,20,15.0,2000.0,118.0,,,,1000.0,,,,,16000.0,16.0,256
2,Intel UHD Graphics G7,2020-05-28 12:00:00,2020.0,Intel,512.0,,,512000000000.0,1024000000000.0,512000000000.0,128000000000.0,1590624000.0,,10,15.0,,,200.0,,,,,,,,4000.0,16.0,512
3,AMD Radeon 540X Mobile,2018-09-05 12:00:00,2018.0,GlobalFoundries,512.0,8.0,,1071000000000.0,1071000000000.0,1071000000000.0,66940000000.0,1536105600.0,,14,50.0,2200.0,103.0,980.0,48.0,64.0,,,64.0,1500.0,2000.0,16740.0,33.47,512
4,AMD Radeon RX 550 512SP,2017-10-13 12:00:00,2017.0,GlobalFoundries,512.0,8.0,,1097000000000.0,1097000000000.0,1097000000000.0,68540000000.00001,1507852800.0,83.4124877610966,14,50.0,3000.0,123.0,1019.0,96.0,128.0,,145.0,128.0,1500.0,2000.0,17140.0,34.27,512
5,AMD Radeon 540X Mobile,2019-02-11 12:00:00,2019.0,GlobalFoundries,512.0,8.0,,1121000000000.0,1121000000000.0,1121000000000.0,70080000000.0,1549843200.0,,14,50.0,2200.0,103.0,980.0,32.0,64.0,,,64.0,1000.0,2000.0,17520.0,35.04,512
6,AMD Radeon 540 Mobile,2019-03-26 12:00:00,2019.0,GlobalFoundries,512.0,8.0,,1151000000000.0,1151000000000.0,1151000000000.0,71940000000.0,1553558400.0,,14,50.0,2200.0,103.0,1100.0,48.0,64.0,,,64.0,1500.0,2000.0,17980.0,35.97,512
7,AMD Radeon RX 550X,2018-12-16 12:00:00,2018.0,GlobalFoundries,512.0,8.0,,1211000000000.0,1211000000000.0,1211000000000.0,75710000000.0,1544918400.0,,14,50.0,2200.0,103.0,1100.0,96.0,128.0,,145.0,128.0,1500.0,4000.0,18930.0,37.86,512
8,AMD Radeon RX 550,2017-04-20 12:00:00,2017.0,GlobalFoundries,512.0,8.0,,1211000000000.0,1211000000000.0,1211000000000.0,75710000000.0,1492646400.0,83.4124877610966,14,50.0,2200.0,103.0,1100.0,112.0,128.0,,145.0,128.0,1750.0,2000.0,18930.0,37.86,512
9,AMD Radeon 550,2017-04-20 12:00:00,2017.0,GlobalFoundries,512.0,8.0,,1211000000000.0,1211000000000.0,1211000000000.0,75710000000.0,1492646400.0,83.4124877610966,14,50.0,2200.0,103.0,1100.0,56.0,64.0,,145.0,64.0,1750.0,2000.0,18930.0,37.86,512
10,AMD Radeon 630 Mobile,2019-05-13 12:00:00,2019.0,GlobalFoundries,512.0,8.0,,1240000000000.0,1240000000000.0,1240000000000.0,77500000000.0,1557705600.0,,14,50.0,2200.0,103.0,1082.0,96.0,128.0,,145.0,128.0,1500.0,2000.0,19380.0,38.75,512
11,AMD Radeon RX 540X Mobile,2018-04-11 12:00:00,2018.0,GlobalFoundries,512.0,8.0,,1240000000000.0,1240000000000.0,1240000000000.0,77500000000.0,1523404800.0,,14,50.0,2200.0,103.0,1124.0,96.0,128.0,,,128.0,1500.0,2000.0,19380.0,38.75,512
12,AMD Radeon 550X,2019-03-27 12:00:00,2019.0,GlobalFoundries,512.0,8.0,,1247000000000.0,1247000000000.0,1247000000000.0,77950000000.0,1553644800.0,,14,50.0,2200.0,103.0,1082.0,112.0,128.0,,145.0,128.0,1750.0,2000.0,19490.0,38.98,512
13,AMD Radeon E9171 MCM,2017-10-03 12:00:00,2017.0,GlobalFoundries,512.0,8.0,,1248000000000.0,1248000000000.0,1248000000000.0,78020000000.0,1506988800.0,,14,40.0,2200.0,103.0,1124.0,96.0,128.0,,,128.0,1500.0,4000.0,19500.0,39.01,512
14,AMD Radeon E9172 MXM,2017-10-03 12:00:00,2017.0,GlobalFoundries,512.0,8.0,,1248000000000.0,1248000000000.0,1248000000000.0,78020000000.0,1506988800.0,,14,35.0,2200.0,103.0,1124.0,48.0,64.0,,,64.0,1500.0,2000.0,19500.0,39.01,512
15,AMD Radeon E9174 MXM,2017-10-03 12:00:00,2017.0,GlobalFoundries,512.0,8.0,,1248000000000.0,1248000000000.0,1248000000000.0,78020000000.0,1506988800.0,,14,50.0,2200.0,103.0,1124.0,96.0,128.0,,,128.0,1500.0,4000.0,19500.0,39.01,512
16,AMD Radeon Pro WX 2100,2017-06-04 12:00:00,2017.0,GlobalFoundries,512.0,8.0,,1248000000000.0,1248000000000.0,1248000000000.0,78020000000.0,1496534400.0,157.32228704308093,14,35.0,2200.0,103.0,925.0,48.0,64.0,,168.0,64.0,1500.0,2000.0,19500.0,39.01,512
17,AMD Radeon RX 540 Mobile,2017-11-11 12:00:00,2017.0,GlobalFoundries,512.0,8.0,,1248000000000.0,1248000000000.0,1248000000000.0,78020000000.0,1510358400.0,,14,50.0,2200.0,103.0,1124.0,96.0,128.0,,,128.0,1500.0,2000.0,19500.0,39.01,512
18,AMD Radeon E9175 PCIe,2017-10-03 12:00:00,2017.0,GlobalFoundries,512.0,8.0,,1248000000000.0,1248000000000.0,1248000000000.0,78020000000.0,1506988800.0,,14,50.0,2200.0,103.0,1124.0,96.0,128.0,,,128.0,1500.0,4000.0,19500.0,39.01,512
19,AMD Radeon Pro WX 3100,2017-06-12 12:00:00,2017.0,GlobalFoundries,512.0,8.0,,1248000000000.0,1248000000000.0,1248000000000.0,78020000000.0,1497225600.0,210.11500081592686,14,65.0,2200.0,103.0,925.0,96.0,128.0,,168.0,128.0,1500.0,4000.0,19500.0,39.01,512
20,AMD Radeon E9173 PCIe,2017-10-03 12:00:00,2017.0,GlobalFoundries,512.0,8.0,,1248000000000.0,1248000000000.0,1248000000000.0,78020000000.0,1506988800.0,,14,35.0,2200.0,103.0,1124.0,48.0,64.0,,,64.0,1500.0,2000.0,19500.0,39.01,512
21,AMD Radeon Pro 555,2017-06-05 12:00:00,2017.0,GlobalFoundries,768.0,12.0,,1306000000000.0,1306000000000.0,1306000000000.0,81600000000.0,1496620800.0,,14,75.0,3000.0,123.0,,81.6,128.0,850.0,,128.0,1275.0,2000.0,13600.0,40.8,768
22,AMD Radeon Pro 455,2016-10-30 12:00:00,2016.0,GlobalFoundries,768.0,12.0,,1313000000000.0,1313000000000.0,1313000000000.0,82080000000.0,1477785600.0,,14,35.0,3000.0,123.0,,81.28,128.0,855.0,,128.0,1270.0,2000.0,13680.0,41.04,768
23,Intel UHD Graphics 750,,2021.0,Intel,256.0,,,665600000000.0,1331000000000.0,665600000000.0,166400000000.0,,,14,15.0,,,300.0,,,,,,,,41600.0,83.2,256
24,AMD Radeon Pro WX 4130 Mobile,2017-03-01 12:00:00,2017.0,GlobalFoundries,640.0,10.0,,1348000000000.0,1348000000000.0,1348000000000.0,84240000000.0,1488326400.0,,14,50.0,3000.0,123.0,1002.0,96.0,128.0,,,128.0,1500.0,4000.0,16850.0,42.12,640
25,AMD Radeon 550X 640SP,2018-04-11 12:00:00,2018.0,GlobalFoundries,640.0,10.0,,1371000000000.0,1371000000000.0,1371000000000.0,85680000000.0,1523404800.0,,14,50.0,2200.0,103.0,1019.0,48.0,64.0,,,64.0,1500.0,4000.0,17140.0,42.84,640
26,AMD Radeon RX 550X 640SP,2018-04-11 12:00:00,2018.0,GlobalFoundries,640.0,10.0,,1371000000000.0,1371000000000.0,1371000000000.0,85680000000.0,1523404800.0,,14,60.0,3000.0,123.0,1019.0,96.0,128.0,,145.0,128.0,1500.0,2000.0,17140.0,42.84,640
27,AMD Radeon RX 550 640SP,2017-10-13 12:00:00,2017.0,GlobalFoundries,640.0,10.0,,1371000000000.0,1371000000000.0,1371000000000.0,85680000000.0,1507852800.0,,14,60.0,3000.0,123.0,1019.0,96.0,128.0,,145.0,128.0,1500.0,2000.0,17140.0,42.84,640
